Edges,Nodes,Density,Components,Min_spl,Max_spl,Median_spl,Mean_spl,Sd_spl,Min_bc,Max_bc,Median_bc,Mean_bc,Sd_bc,Min_cc,Max_cc,Median_cc,Mean_cc,Sd_cc,Min_dc,Max_dc,Median_dc,Mean_dc,Sd_dc
353,214,0.007,56,0,26,9,9.586,4.28,0,0.151,0.012,0.023,0.03,0,0.13,0.072,0.063,0.033,0,0.042,0.014,0.015,0.006
827,369,0.006,88,0,19,10,9.885,3.593,0,0.313,0,0.016,0.051,0,0.191,0.064,0.074,0.039,0,0.366,0.008,0.012,0.03
451,272,0.006,142,0,25,10,9.824,4.571,0,0.163,0.003,0.013,0.024,0,0.145,0.053,0.045,0.03,0,0.051,0.011,0.012,0.006
2222,1202,0.001,77,0,33,14,14.172,4.692,0,0.393,0.002,0.009,0.025,0,0.134,0.066,0.063,0.019,0,0.098,0.002,0.003,0.004
6436,2930,0,158,0,43,11,11.967,4.535,0,0.249,0.001,0.003,0.01,0,0.147,0.087,0.081,0.024,0,0.03,0.001,0.001,0.001
5339,2210,0.001,189,0,23,8,7.781,2.388,0,0.215,0,0.002,0.013,0,0.213,0.122,0.117,0.03,0,0.095,0.001,0.002,0.004
45027,19225,0,1318,0,38,11,10.845,3.216,0,0.243,0,0,0.004,0,0.172,0.091,0.087,0.023,0,0.033,0,0,0
3514,1885,0,808,0,52,14,14.771,6.131,0,0.141,0,0.003,0.011,0,0.135,0.043,0.034,0.025,0,0.074,0.001,0.001,0.003
10061,5351,0,1632,0,68,18,19.169,8.034,0,0.244,0,0.002,0.009,0,0.084,0.04,0.032,0.02,0,0.02,0,0,0
2268,1182,0.001,122,0,28,10,9.898,3.118,0,0.359,0.002,0.006,0.021,0,0.169,0.095,0.088,0.031,0,0.045,0.002,0.003,0.002
1399,758,0.002,103,0,32,12,12.776,5.007,0,0.338,0.004,0.012,0.026,0,0.121,0.069,0.065,0.024,0,0.042,0.003,0.004,0.003
4953,2459,0,255,0,49,14,14.08,5.535,0,0.371,0.001,0.004,0.015,0,0.134,0.067,0.065,0.024,0,0.031,0.001,0.001,0.001
